,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id,originalTitle,startYear,genres,averageRating,numVotes,Gross Profit
3208,425942,"['Crime', 'Drama', 'Mystery', 'Thriller']",Nieve negra,Black Snow,2017-01-19,5.92,62.0,103,4000000.0,1440000.0,tt5614612,Nieve negra,2017.0,"Crime,Drama,Mystery",6.2,4535,-2560000.0
3245,333384,['Drama'],Lowriders,Lowriders,2017-04-28,3.807,66.0,48,916000.0,6179955.0,tt1366338,Lowriders,2016.0,"Adventure,Crime,Drama",5.7,2048,5263955.0
3246,393559,"['Animation', 'Drama', 'Family']",Ma vie de courgette,My Life as a Zucchini,2016-10-12,5.8629999999999995,78.0,702,8000000.0,292279.0,tt2321405,Ma vie de Courgette,2016.0,"Animation,Comedy,Drama",7.8,18807,-7707721.0
3266,374465,['Drama'],L'avenir,Things to Come,2016-04-06,6.832000000000001,66.0,152,2100000.0,282382.0,tt4120176,L'avenir,2016.0,Drama,7.0,10673,-1817618.0
3275,467106,"['Romance', 'Comedy']",बरेली की बर्फी,Bareilly Ki Barfi,2017-08-17,4.99,68.0,97,2740700.0,8050806.0,tt6967980,Bareilly Ki Barfi,2017.0,"Comedy,Romance",7.5,15891,5310106.0
3298,415358,"['Drama', 'Thriller']",Pink,Pink,2016-09-16,4.805,75.0,100,75000000.0,15020702.0,tt5571734,Pink,2016.0,"Drama,Thriller",8.1,34931,-59979298.0
3320,401285,"['Adventure', 'Comedy', 'Mystery', 'Romance']",जग्गा जासूस,Jagga Jasoos,2017-07-14,4.57,58.0,51,19700000.0,12500000.0,tt4129428,Jagga Jasoos,2017.0,"Action,Adventure,Comedy",6.5,8321,-7200000.0
3328,383807,['Drama'],Réparer les vivants,Heal the Living,2016-11-01,4.783,67.0,133,10000000.0,3176.0,tt5096536,Réparer les vivants,2016.0,Drama,6.9,2450,-9996824.0
3345,375742,"['Fantasy', 'Horror', 'Music']",Córki dancingu,The Lure,2015-12-25,5.507000000000001,65.0,112,1300000.0,102986.0,tt5278832,Córki dancingu,2015.0,"Comedy,Drama,Fantasy",6.3,5712,-1197014.0
3365,416149,"['Science Fiction', 'Action']",The Perfect Weapon,The Perfect Weapon,2016-09-09,5.098,41.0,37,8000000.0,17000000.0,tt4616250,The Perfect Weapon,2016.0,"Action,Drama,Sci-Fi",3.1,1359,9000000.0
3379,361777,"['History', 'Thriller']",El hombre de las mil caras,Smoke & Mirrors,2016-09-23,6.476,66.0,140,5000000.0,2387127.0,tt1713440,El hombre de las mil caras,2016.0,"Biography,Thriller",6.9,6078,-2612873.0
3396,374458,['Drama'],Bacalaureat,Graduation,2016-05-20,6.521,67.0,136,2000000.0,343617.0,tt4936450,Bacalaureat,2016.0,"Crime,Drama",7.3,11149,-1656383.0
3414,456570,"['Comedy', 'Drama']",हिंदी मीडियम,Hindi Medium,2017-05-18,4.462,73.0,67,3213790.0,52390000.0,tt5764096,Hindi Medium,2017.0,"Comedy,Drama",7.8,19057,49176210.0
3424,336029,['Drama'],A Tale of Love and Darkness,A Tale of Love and Darkness,2015-09-03,3.609,51.0,64,4000000.0,572212.0,tt1135989,A Tale of Love and Darkness,2015.0,"Biography,Drama,History",6.0,3226,-3427788.0
3428,396616,"['Action', 'Drama', 'War']",Kongens nei,The King's Choice,2016-09-29,4.23,70.0,68,7500000.0,9100000.0,tt4353996,Kongens nei,2016.0,"Biography,Drama,History",7.1,6482,1600000.0
3431,364615,"['Crime', 'Drama', 'Thriller']",Toro,Toro,2016-04-22,5.037,60.0,95,4000000.0,1903083.0,tt4213806,Toro,2016.0,"Action,Crime,Drama",5.9,2516,-2096917.0
3438,456565,"['Action', 'Comedy']",जुड़वा 2,Judwaa 2,2017-09-29,3.8310000000000004,60.0,63,10000000.0,34500000.0,tt5456546,Judwaa 2,2017.0,"Action,Comedy",3.8,7589,24500000.0
3462,435800,"['Adventure', 'Fantasy', 'Action']",西游伏妖篇,Journey to the West: The Demons Strike Back,2017-01-28,3.284,65.0,37,63300000.0,731607.0,tt5273624,Journey to the West: Demon Chapter,2017.0,"Adventure,Comedy,Fantasy",5.4,2510,-62568393.0
3475,398535,"['Action', 'Crime', 'Drama']",उड़ता पंजाब,Udta Punjab,2016-06-17,3.8510000000000004,71.0,73,5980000.0,14900000.0,tt4434004,Udta Punjab,2016.0,"Action,Crime,Drama",7.8,24559,8920000.0
3513,269149,"['Animation', 'Adventure', 'Family', 'Comedy']",Zootopia,Zootopia,2016-02-11,44.8,77.0,11107,150000000.0,1023784195.0,tt2948356,Zootopia,2016.0,"Adventure,Animation,Comedy",8.0,405230,873784195.0
3514,206647,"['Action', 'Adventure', 'Crime']",Spectre,Spectre,2015-10-26,31.125999999999998,64.0,7281,245000000.0,880674609.0,tt2379713,Spectre,2015.0,"Action,Adventure,Thriller",6.8,366286,635674609.0
3515,140607,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Star Wars: The Force Awakens,Star Wars: The Force Awakens,2015-12-15,28.811999999999998,74.0,13865,245000000.0,2068223624.0,tt2488496,Star Wars: Episode VII - The Force Awakens,2015.0,"Action,Adventure,Sci-Fi",7.9,827462,1823223624.0
3516,278927,"['Adventure', 'Drama', 'Family', 'Fantasy']",The Jungle Book,The Jungle Book,2016-04-07,24.845,68.0,5795,175000000.0,966550600.0,tt3040964,The Jungle Book,2016.0,"Adventure,Drama,Family",7.4,249139,791550600.0
3518,241259,"['Adventure', 'Fantasy', 'Family']",Alice Through the Looking Glass,Alice Through the Looking Glass,2016-05-25,17.783,65.0,4312,170000000.0,299457024.0,tt2567026,Alice Through the Looking Glass,2016.0,"Adventure,Family,Fantasy",6.2,85389,129457024.0
3519,307081,"['Action', 'Drama']",Southpaw,Southpaw,2015-03-24,22.909000000000002,74.0,3760,30000000.0,91709827.0,tt1798684,Southpaw,2015.0,"Drama,Sport",7.4,207193,61709827.0
3520,318846,"['Comedy', 'Drama']",The Big Short,The Big Short,2015-12-11,16.305,73.0,5350,28000000.0,133346506.0,tt1596363,The Big Short,2015.0,"Biography,Comedy,Drama",7.8,330587,105346506.0
3521,181283,"['Crime', 'Thriller']",Child 44,Child 44,2015-03-15,27.14,62.0,1009,50000000.0,3324330.0,tt1014763,Child 44,2015.0,"Crime,Drama,History",6.5,62152,-46675670.0
3522,105864,"['Adventure', 'Animation', 'Family']",The Good Dinosaur,The Good Dinosaur,2015-11-14,17.31,67.0,3491,175000000.0,331926147.0,tt1979388,The Good Dinosaur,2015.0,"Adventure,Animation,Comedy",6.7,95556,156926147.0
3523,159824,"['Animation', 'Comedy', 'Fantasy', 'Family']",Hotel Transylvania 2,Hotel Transylvania 2,2015-09-21,14.003,67.0,3551,80000000.0,473226958.0,tt2510894,Hotel Transylvania 2,2015.0,"Animation,Comedy,Family",6.7,98857,393226958.0
3524,310131,"['Horror', 'Mystery']",The Witch,The Witch,2015-11-11,17.202,67.0,3516,3500000.0,40423945.0,tt4263482,The VVitch: A New-England Folktale,2015.0,"Drama,Horror,Mystery",6.9,175839,36923945.0
3525,316727,"['Action', 'Horror', 'Thriller']",The Purge: Election Year,The Purge: Election Year,2016-06-29,17.151,63.0,3266,10000000.0,118587880.0,tt4094724,The Purge: Election Year,2016.0,"Action,Horror,Sci-Fi",6.0,84367,108587880.0
3526,296098,"['Drama', 'Thriller']",Bridge of Spies,Bridge of Spies,2015-10-15,15.074000000000002,72.0,4737,40000000.0,165478348.0,tt3682448,Bridge of Spies,2015.0,"Drama,History,Thriller",7.6,272985,125478348.0
3527,308531,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Family']",Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,12.949000000000002,59.0,2056,135000000.0,245623848.0,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016.0,"Action,Adventure,Comedy",6.0,80420,110623848.0
3530,264644,"['Drama', 'Thriller']",Room,Room,2015-10-16,15.595,81.0,6188,6000000.0,35401758.0,tt3170832,Room,2015.0,"Drama,Thriller",8.1,338296,29401758.0
3531,153518,"['Adventure', 'Animation', 'Comedy']",The Angry Birds Movie,The Angry Birds Movie,2016-05-11,16.988,60.0,2145,73000000.0,349779543.0,tt1985949,Angry Birds,2016.0,"Action,Adventure,Animation",6.3,75188,276779543.0
