,tconst,originalTitle,startYear,genres,averageRating,numVotes
26260,tt6295832,Requiem voor een Boom,2016.0,Documentary,9.4,7
35806,tt8031742,Cobby: The Other Side of Cute,2018.0,Documentary,9.4,7
2286,tt11090060,Superhombre,2019.0,Documentary,9.4,23
14071,tt4780544,One Note at a Time,2016.0,"Documentary,Music",9.4,45
8287,tt3846958,The Unforgotten Hero: In Memory of Sgt. Ryan Lane,2015.0,Documentary,9.4,16
27122,tt6432868,Up to Snuff,2018.0,Documentary,9.4,14
18754,tt5339116,La Mer Aussi Aime Le Blues,2015.0,"Adventure,Drama",9.4,9
39531,tt8995266,Koi,2019.0,"Documentary,Drama",9.4,27
37020,tt8326336,Genetically Modified Children,2016.0,Documentary,9.4,10
13063,tt4643336,Red Dog & Bates,2018.0,Documentary,9.4,16
18165,tt5270650,Trial by Fire: A Film Based on CRPS/RSD,2015.0,Documentary,9.4,31
34797,tt7818130,2Cellos 2Obraza,2017.0,Documentary,9.4,5
7572,tt3713222,The Long Road to War,2018.0,Documentary,9.4,75
28299,tt6623456,Icon,2016.0,Documentary,9.4,8
1928,tt10870258,Horas Amang: Tiga Bulan Untuk Selamanya,2019.0,"Comedy,Drama",9.4,15
4629,tt2791132,Mamadua: Nacer en conciencia,2016.0,Documentary,9.4,5
27697,tt6515292,Bear,2019.0,Crime,9.4,24
15876,tt5007458,The Royal Adelaide Show,2015.0,Documentary,9.4,18
26400,tt6321972,The Flip Side: A Truth That Could Not Reach You,2015.0,Documentary,9.4,81
19961,tt5532074,Reset: The Documentary,2016.0,Documentary,9.4,8
24544,tt6097926,Arrangiarsi: Pizza... & the Art of Living,2017.0,Documentary,9.4,64
1800,tt10788912,Wei,2019.0,Documentary,9.4,10
417,tt10151056,The Passengers,2019.0,Documentary,9.4,5
17457,tt5182892,Concerto,2016.0,"Biography,Documentary,Drama",9.4,21
29571,tt6859280,"The Nagano Tapes: Rewound, Replayed & Reviewed",2018.0,Documentary,9.4,208
21771,tt5758540,Tko je taj Zvonimir Bajsic?,2016.0,Documentary,9.4,15
854,tt10348500,Mustafa Z,2017.0,Drama,9.4,12
2167,tt11010206,Gala Gecesi,2019.0,"Documentary,Sport",9.4,104
28266,tt6616550,Ram-Path,2017.0,Documentary,9.4,5
31182,tt7154952,Everybody Flies,2019.0,Documentary,9.4,10
530,tt10204276,Soldiers Without Guns,2019.0,Documentary,9.4,45
24415,tt6088732,The Aria of Babyface Cauliflower Brown,2017.0,"Documentary,Sport",9.4,7
9067,tt4022302,NOWRUZ: Lost & Found,2015.0,"Adventure,Comedy,Documentary",9.4,15
