,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id
96,198184,"['Action', 'Crime', 'Science Fiction']",Chappie,Chappie,2015-03-04,25.245,67.0,5426,"$49,000,000.00","$104,399,548.00",tt1823672
97,694,"['Horror', 'Thriller']",The Shining,The Shining,1980-05-22,24.059,82.0,10204,"$19,000,000.00","$44,781,695.00",tt0081505
98,440762,['Comedy'],Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,2019-10-15,17.642,61.0,100,$0.00,"$1,011,305.00",tt6521876
99,536743,"['Crime', 'Drama', 'Romance']",Queen & Slim,Queen & Slim,2019-11-27,32.187,73.0,118,"$20,000,000.00","$46,597,100.00",tt8722346
100,575771,"['Drama', 'Mystery', 'Thriller']",La misma sangre,Blood Will Tell,2019-02-28,22.892,66.0,7,$0.00,$0.00,tt5687236
101,530385,"['Drama', 'Horror', 'Mystery']",Midsommar,Midsommar,2019-07-03,27.394,71.0,1694,"$9,000,000.00","$42,291,572.00",tt8772262
102,152601,"['Drama', 'Science Fiction', 'Romance']",Her,Her,2013-12-18,15.48,79.0,9057,"$23,000,000.00","$47,351,251.00",tt1798709
103,381288,"['Horror', 'Thriller']",Split,Split,2017-01-19,49.265,73.0,11667,"$9,000,000.00","$278,454,358.00",tt4972582
104,332562,"['Drama', 'Music', 'Romance']",A Star Is Born,A Star Is Born,2018-10-03,25.126,75.0,7417,"$36,000,000.00","$433,888,866.00",tt1517451
105,490132,"['Comedy', 'Drama']",Green Book,Green Book,2018-11-16,22.469,83.0,5492,"$23,000,000.00","$319,700,000.00",tt6966692
106,511322,"['Crime', 'Drama', 'Mystery']",The Good Liar,The Good Liar,2019-11-08,23.837,66.0,203,"$10,000,000.00","$33,256,058.00",tt5563334
107,501907,['Drama'],A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,2019-11-22,24.854,72.0,289,"$4,000,000.00",$0.00,tt3224458
108,504608,['Drama'],Rocketman,Rocketman,2019-05-22,26.213,74.0,1848,"$40,000,000.00","$167,323,950.00",tt2066051
109,504562,"['Drama', 'Mystery', 'Thriller']",Motherless Brooklyn,Motherless Brooklyn,2019-10-31,24.89,69.0,325,"$26,000,000.00","$18,377,736.00",tt0385887
110,238615,"['Mystery', 'Science Fiction', 'Thriller']",Self/less,Self/less,2015-07-10,24.763,63.0,2020,"$26,000,000.00","$30,523,226.00",tt2140379
111,522212,"['Drama', 'History']",Just Mercy,Just Mercy,2019-12-25,24.974,82.0,203,$0.00,"$10,435,988.00",tt4916630
112,592350,['Animation'],僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,My Hero Academia: Heroes Rising,2019-12-20,21.981,89.0,17,$0.00,$0.00,tt11107074
113,567609,"['Comedy', 'Horror', 'Mystery', 'Thriller']",Ready or Not,Ready or Not,2019-08-21,25.952,68.0,1052,"$6,000,000.00","$57,384,179.00",tt7798634
114,424783,"['Action', 'Adventure', 'Science Fiction']",Bumblebee,Bumblebee,2018-12-15,21.506,65.0,3336,"$135,000,000.00","$465,895,025.00",tt4701182
115,466081,"['Crime', 'Drama', 'Thriller']",The Informer,The Informer,2019-08-30,24.507,63.0,103,$0.00,$0.00,tt1833116
116,615453,"['Animation', 'Comedy', 'Fantasy']",哪吒之魔童降世,Ne Zha,2019-07-26,23.719,73.0,31,$0.00,"$686,067,000.00",tt10627720
117,157433,"['Horror', 'Thriller']",Pet Sematary,Pet Sematary,2019-04-04,25.499,58.0,1719,"$21,000,000.00","$112,399,944.00",tt0837563
118,585759,['Thriller'],The Coldest Game,The Coldest Game,2019-11-08,22.363,60.0,63,$0.00,$0.00,tt6445414
119,439079,"['Horror', 'Mystery', 'Thriller']",The Nun,The Nun,2018-09-05,20.525,56.0,3424,"$22,000,000.00","$365,550,119.00",tt5814060
120,579245,"['Comedy', 'Drama']",Hors Normes,The Specials,2019-10-23,21.755,84.0,220,$0.00,$0.00,tt8655470
121,428078,"['Adventure', 'Fantasy']",Mortal Engines,Mortal Engines,2018-11-27,27.414,61.0,2497,"$100,000,000.00","$104,236,467.00",tt1571234
122,537061,"['Adventure', 'Animation', 'Comedy', 'Music', 'Family', 'TV Movie']",Steven Universe: The Movie,Steven Universe: The Movie,2019-09-02,22.244,87.0,126,$0.00,$0.00,tt10515852
123,297761,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",Suicide Squad,Suicide Squad,2016-08-03,18.291,59.0,14903,"$176,000,000.00","$745,600,054.00",tt1386697
124,335797,"['Animation', 'Comedy', 'Drama', 'Family']",Sing,Sing,2016-11-23,21.757,70.0,4811,"$75,000,000.00","$634,151,679.00",tt3470600
125,508965,"['Adventure', 'Animation', 'Comedy', 'Family']",Klaus,Klaus,2019-11-08,22.817,83.0,1402,$0.00,$0.00,tt4729430
126,448095,"['Fantasy', 'Thriller']",I Still See You,I Still See You,2018-09-27,21.429,67.0,322,$0.00,$0.00,tt2160105
127,458723,"['Thriller', 'Horror', 'Mystery']",Us,Us,2019-03-14,25.392,70.0,3420,"$20,000,000.00","$255,105,930.00",tt6857112
128,554241,"['Comedy', 'Family']",Playing with Fire,Playing with Fire,2019-11-08,17.481,64.0,139,"$29,900,000.00","$44,400,000.00",tt9134216
129,257445,"['Adventure', 'Comedy', 'Horror']",Goosebumps,Goosebumps,2015-08-05,21.262,62.0,2470,"$58,000,000.00","$158,162,788.00",tt1051904
130,369972,"['History', 'Drama']",First Man,First Man,2018-10-11,20.605,71.0,3111,"$70,000,000.00","$100,546,153.00",tt1213641
131,506528,"['Drama', 'History']",Harriet,Harriet,2019-11-01,19.357,69.0,149,$0.00,$0.00,tt4648786
132,346910,"['Action', 'Adventure', 'Comedy', 'Horror', 'Science Fiction', 'Thriller']",The Predator,The Predator,2018-09-05,20.937,53.0,2493,"$88,000,000.00","$160,542,134.00",tt3829266
133,662192,[],Arjona Circo Soledad en Vivo,Arjona Circo Soledad en Vivo,2019-08-30,22.107,0.0,0,$0.00,$0.00,
134,479455,"['Comedy', 'Science Fiction']",Men in Black: International,Men in Black: International,2019-06-12,23.754,59.0,2103,"$110,000,000.00","$252,608,480.00",tt2283336
135,28,"['Drama', 'War']",Apocalypse Now,Apocalypse Now,1979-08-15,19.127,83.0,4585,"$31,500,000.00","$150,000,000.00",tt0078788
136,268,"['Action', 'Fantasy']",Batman,Batman,1989-06-23,18.746,72.0,4442,"$35,000,000.00","$411,348,924.00",tt0096895
137,438650,['Action'],Cold Pursuit,Cold Pursuit,2019-02-07,21.324,54.0,1281,"$60,000,000.00","$59,213,931.00",tt5719748
138,140300,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Kung Fu Panda 3,Kung Fu Panda 3,2016-01-23,15.493,67.0,3271,"$145,000,000.00","$521,170,825.00",tt2267968
139,635339,"['Action', 'Adventure', 'Science Fiction']",仮面ライダー 令和 ザ・ファースト・ジェネレーション,Kamen Rider Reiwa: The First Generation,2019-12-21,21.129,100.0,1,$0.00,$0.00,tt10820704
140,638507,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Family']",How to Train Your Dragon: Homecoming,How to Train Your Dragon: Homecoming,2019-10-25,23.298,82.0,84,$0.00,$0.00,tt11112140
141,635489,"['Drama', 'Fantasy']",Full Count,Full Count,2019-10-25,10.562,0.0,0,$0.00,$0.00,tt3852042
142,596302,"['Action', 'Adventure', 'Animation', 'Family']",映画クレヨンしんちゃん 新婚旅行ハリケーン ～失われたひろし～,Crayon Shin-chan: Honeymoon Hurricane ~The Lost Hiroshi~,2019-04-19,24.182,59.0,4,$0.00,$0.00,tt10208548
143,487616,"['Drama', 'History']",Curiosa,Curiosa,2019-04-03,16.282,60.0,35,$0.00,$0.00,tt7598076
144,813,['Comedy'],Airplane!,Airplane!,1980-07-02,20.879,73.0,2394,"$3,500,000.00","$83,453,539.00",tt0080339
145,339846,"['Action', 'Comedy']",Baywatch,Baywatch,2017-05-12,16.435,61.0,5408,"$69,000,000.00","$177,856,751.00",tt1469304
146,335988,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Transformers: The Last Knight,Transformers: The Last Knight,2017-06-16,14.263,60.0,3637,"$217,000,000.00","$605,425,157.00",tt3371366
147,592867,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",ドラゴンクエスト ユア・ストーリー,Dragon Quest: Your Story,2019-08-02,14.917,76.0,43,$0.00,$0.00,tt10127562
148,578189,['Action'],Black and Blue,Black and Blue,2019-10-25,18.889,63.0,195,"$12,000,000.00",$0.00,tt7390646
149,329996,"['Adventure', 'Fantasy', 'Family']",Dumbo,Dumbo,2019-03-27,19.282,66.0,2407,"$170,000,000.00","$215,832,199.00",tt3861390
150,511987,"['Action', 'Drama', 'Horror', 'Thriller']",Crawl,Crawl,2019-07-11,21.384,61.0,1128,"$13,500,000.00","$89,203,432.00",tt8364368
151,617784,['Drama'],Military Wives,Military Wives,2020-03-06,28.79,90.0,2,$0.00,$0.00,tt8951692
152,551332,"['Comedy', 'Drama', 'History']",The Two Popes,The Two Popes,2019-11-27,18.114,77.0,1186,$0.00,"$232,638.00",tt8404614
153,531309,"['Horror', 'Science Fiction', 'Thriller']",Brightburn,Brightburn,2019-05-09,17.888,58.0,1288,"$7,000,000.00","$32,139,941.00",tt7752126
154,590575,"['Drama', 'Horror', 'Thriller']",Beneath Us,Beneath Us,2020-03-06,36.111,90.0,1,$0.00,$0.00,tt5092484
155,454640,"['Adventure', 'Animation', 'Comedy', 'Family']",The Angry Birds Movie 2,The Angry Birds Movie 2,2019-08-02,19.039,66.0,439,"$65,000,000.00","$131,359,052.00",tt6095472
156,522369,['Drama'],Sorry We Missed You,Sorry We Missed You,2019-10-04,26.951,76.0,147,$0.00,$0.00,tt8359816
157,499701,"['Adventure', 'Comedy', 'Family']",Dora and the Lost City of Gold,Dora and the Lost City of Gold,2019-08-08,20.986,63.0,548,"$49,000,000.00","$116,826,172.00",tt7547410
158,608826,['Animation'],冴えない彼女の育てかた Fine,Saekano: How to Raise a Boring Girlfriend Fine,2019-10-26,21.08,90.0,1,$0.00,$0.00,tt11203468
159,364,"['Action', 'Fantasy']",Batman Returns,Batman Returns,1992-06-19,19.619,68.0,3701,"$80,000,000.00","$280,000,000.00",tt0103776
160,537915,"['Drama', 'Romance']",After,After,2019-04-11,22.34,61.0,2506,"$14,000,000.00","$69,497,587.00",tt4126476
161,417384,"['Horror', 'Thriller']",Scary Stories to Tell in the Dark,Scary Stories to Tell in the Dark,2019-08-08,19.206,63.0,938,"$25,000,000.00","$95,438,172.00",tt3387520
162,424,"['Drama', 'History', 'War']",Schindler's List,Schindler's List,1993-11-30,23.362,86.0,9166,"$22,000,000.00","$321,365,567.00",tt0108052
163,124905,"['Action', 'Drama', 'Science Fiction']",Godzilla,Godzilla,2014-05-14,13.511,61.0,5650,"$160,000,000.00","$529,076,069.00",tt0831387
164,515195,"['Comedy', 'Fantasy', 'Romance']",Yesterday,Yesterday,2019-06-27,19.751,67.0,1419,"$26,000,000.00","$88,092,097.00",tt8079248
165,618260,['Documentary'],Woman,Woman,2020-03-04,27.964,80.0,1,$0.00,$0.00,tt7419466
166,502292,"['Comedy', 'Romance']",The Last Summer,The Last Summer,2019-05-03,19.343,60.0,862,$0.00,$0.00,tt7957694
